Data;Vazao;VazaoStatus;Unidades;MetodoObtencao;NivelConsistencia;CodigoEstacao;Responsavel
2022-04-19;43,9056;1.0;m³/s;1;1;41340000;ANA
2022-04-20;41,8417;;m³/s;1;1;41340000;ANA
2022-04-21;41,8417;;m³/s;1;1;41340000;ANA
2022-04-22;39,8108;;m³/s;1;1;41340000;ANA
2022-04-23;40,3877;;m³/s;1;1;41340000;ANA
2022-04-24;39,2366;;m³/s;1;1;41340000;ANA
2022-04-25;38,6652;;m³/s;1;1;41340000;ANA
2022-04-26;40,9673;;m³/s;1;1;41340000;ANA
2022-04-27;42,7223;;m³/s;1;1;41340000;ANA
2022-04-28;40,6771;;m³/s;1;1;41340000;ANA
2022-04-29;38,3806;;m³/s;1;1;41340000;ANA
2022-04-30;37,2488;;m³/s;1;1;41340000;ANA
2022-03-01;0.0;49,3601;m³/s;1;1;41340000;ANA
2022-03-02;99,4603;;m³/s;1;1;41340000;ANA
2022-03-03;93,3054;;m³/s;1;1;41340000;ANA
2022-03-04;91,0308;;m³/s;1;1;41340000;ANA
2022-03-05;90,6535;;m³/s;1;1;41340000;ANA
2022-03-06;86,9089;;m³/s;1;1;41340000;ANA
2022-03-07;82,4844;;m³/s;1;1;41340000;ANA
2022-03-08;80,6634;;m³/s;1;1;41340000;ANA
2022-03-09;78,1365;;m³/s;1;1;41340000;ANA
2022-03-10;74,2195;;m³/s;1;1;41340000;ANA
2022-03-11;69,6765;;m³/s;1;1;41340000;ANA
2022-03-12;71,4126;;m³/s;1;1;41340000;ANA
2022-03-13;70,0226;;m³/s;1;1;41340000;ANA
2022-03-14;71,0643;;m³/s;1;1;41340000;ANA
2022-03-15;67,2695;;m³/s;1;1;41340000;ANA
2022-03-16;63,8797;;m³/s;1;1;41340000;ANA
2022-03-17;61,8735;;m³/s;1;1;41340000;ANA
2022-03-18;60,2179;;m³/s;1;1;41340000;ANA
2022-03-19;60,8784;;m³/s;1;1;41340000;ANA
2022-03-20;60,5479;;m³/s;1;1;41340000;ANA
2022-03-21;56,9512;;m³/s;1;1;41340000;ANA
2022-03-22;60,2179;;m³/s;1;1;41340000;ANA
2022-03-23;57,2752;;m³/s;1;1;41340000;ANA
2022-03-24;56,6279;;m³/s;1;1;41340000;ANA
2022-03-25;51,2243;;m³/s;1;1;41340000;ANA
2022-03-26;51,2243;1.0;m³/s;1;1;41340000;ANA
2022-03-27;51,2243;;m³/s;1;1;41340000;ANA
2022-03-28;50,912;;m³/s;1;1;41340000;ANA
2022-03-29;49,3601;;m³/s;1;1;41340000;ANA
2022-03-30;48,7437;;m³/s;1;1;41340000;ANA
2022-03-31;49,9789;;m³/s;1;1;41340000;ANA
2022-02-01;0.0;101,8015;m³/s;1;1;41340000;ANA
2022-02-02;120,7466;;m³/s;1;1;41340000;ANA
2022-02-03;130,8221;;m³/s;1;1;41340000;ANA
2022-02-04;112,5553;;m³/s;1;1;41340000;ANA
2022-02-05;114,1784;;m³/s;1;1;41340000;ANA
2022-02-06;137,685;;m³/s;1;1;41340000;ANA
2022-02-07;199,4734;;m³/s;1;1;41340000;ANA
2022-02-08;163,9643;;m³/s;1;1;41340000;ANA
2022-02-09;206,3509;;m³/s;1;1;41340000;ANA
2022-02-10;149,9686;;m³/s;1;1;41340000;ANA
2022-02-11;217,8146;1.0;m³/s;1;1;41340000;ANA
2022-02-12;315,9364;;m³/s;1;1;41340000;ANA
2022-02-13;281,3644;;m³/s;1;1;41340000;ANA
2022-02-14;210,8125;;m³/s;1;1;41340000;ANA
2022-02-15;174,6099;;m³/s;1;1;41340000;ANA
